Country,Currency Name,Code A,Code N,Country_2,Currency_2,Currency_Symbol,Country_currency,Currency_code,Symbol
Guyana,Guyana Dollar,GYD,328,,,,Singapore Dollar,SGD,$
Haiti,Haitian Gourde,HTG,332,,,,,,
Haiti,"
US Dollar","
USD","
840",,,,Solomon Islands Dollar,SBD,$
Holy See,Euro,EUR,978,,,,Somalia Shilling,SOS,S
Honduras,Lempira,HNL,340,,,,South Korean Won,KRW,₩
Hong Kong,Hong Kong Dollar,HKD,344,,,,South Africa Rand,ZAR,R
Hungary,Forint,HUF,348,,,,Sri Lanka Rupee,LKR,₨
Iceland,Iceland Krona,ISK,352,,,,Sweden Krona,SEK,kr
India,Indian Rupee,INR,356,,,,Switzerland Franc,CHF,CHF
Indonesia,Rupiah,IDR,360,,,,Suriname Dollar,SRD,$
Iran,Iranian Rial,IRR,364,,,,Syria Pound,SYP,£
Iraq,Iraqi Dinar,IQD,368,,,,Taiwan New Dollar,TWD,NT$
Ireland,Euro,EUR,978,,,,Thailand Baht,THB,฿
Israel,New Israeli Sheqel,ILS,376,,,,Trinidad and Tobago Dollar,TTD,TT$
Italy,"Euro
","EUR
",978,,,,Turkey Lira,TRY,₺
Jamaica,Jamaican Dollar,JMD,388,,,,Tuvalu Dollar,TVD,$
Japan,Yen,JPY,392,,,,Ukraine Hryvnia,UAH,₴
Jordan,Jordanian Dinar,JOD,400,,,,UAE-Dirham,AED, د.إ
Kazakhstan,Tenge,KZT,398,,,,United Kingdom Pound,GBP,£
Kenya,Kenyan Shilling,KES,404,,,,United States Dollar,USD,$
Kiribati,Australian Dollar,AUD,36,,,,Uruguay Peso,UYU,$U
North Korea,North Korean Won,KPW,408,,,,Uzbekistan Som,UZS,лв
South Korea,Won,KRW,410,,,,Venezuela Bolívar,VEF,Bs
Kuwait,Kuwaiti Dinar,KWD,414,,,,Viet Nam Dong,VND,₫
Kyrgyzstan,Som,KGS,417,,,,Yemen Rial,YER,﷼
Lao,Kip,LAK,418,,,,Zimbabwe Dollar,ZWD,Z$
Latvia,Euro,EUR,978,,,,,,
Lebanon,Lebanese Pound,LBP,422,,,,,,
Lesotho,Loti (plural Maloti). It is equivalent to the South African Rand.,LSL,426,,,,,,
Liberia,Liberian Dollar,LRD,430,,,,,,
Libya,Lybian Dinar,LYD,434,,,,,,
Liechtenstein,Swiss Franc,CHF,756,,,,,,
Lithuania,Euro replaced Lithuanian Litas,LTL,440,,,,,,
Luxembourg,Euro,EUR,978,,,,,,
Macau,Macanese Pataca,MOP,446,,,,,,
"Macedonia, Rep. of",Macedonian Denar,MKD,807,,,,,,
Madagascar,Malagasy Franc,MGF,450,,,,,,
Malawi,Kwacha,MWK,454,,,,,,
Malaysia,Malaysian Ringgit,MYR,458,,,,,,
Maldives,Rufiyaa,MVR,462,,,,,,
Mali,CFA Franc BCEAO,XOF,952,,,,,,
Malta,Maltese Lira,MTL,470,,,,,,
Marshall Islands,US Dollar,USD,840,,,,,,
Martinique,Euro,EUR,978,,,,,,
Mauritania,Ouguiya,MRO,478,,,,,,
Mauritius,Mauritius Rupee,MUR,480,,,,,,
Mayotte (DROM France),Euro,EUR,978,,,,,,
Mexico,Mexican Peso,MXN,484,,,,,,
"Micronesia, Federal States of",US Dollar,USD,840,,,,,,
"Moldova, Republic of",Moldovan Leu,MDL,498,,,,,,
Monaco,Euro,EUR,978,,,,,,
Mongolia,"Mongolia Tughrik (Tugrik, Tugrug, tögrög)",MNT,496,,,,,,
Montenegro,Euro,EUR,978,,,,,,
Montserrat,East Caribbean Dollar,XCD,951,,,,,,
Morocco,Moroccan Dirham,MAD,504,,,,,,
Mozambique,Mozambican Metical,MZM,508,,,,,,
Myanmar (Burma),Burmese Kyat,MMK,104,,,,,,
Namibia,Namibia Dollar,NAD,516,,,,,,
Namibia,"
South African Rand","
ZAR","
710",,,,,,
Nauru,Australian Dollar,AUD,36,,,,,,
Nepal,Nepalese Rupee,NPR,524,,,,,,
Netherlands,Euro,EUR,978,,,,,,
"Netherlands Antilles
Curaçao, Sint Maarten",Netherlands Antilles Guilder,ANG,532,,,,,,
New Caledonia,CFP Franc (South Pacific Franc),XPF,953,,,,,,
New Zealand,New Zealand Dollar,NZD,554,,,,,,
Nicaragua,Nicaraguan Córdoba (córdoba oro),NIO,558,,,,,,
Niger,West African CFA Franc,XOF,952,,,,,,
Nigeria,Nigerian Naira,NGN,566,,,,,,
Niue,New Zealand Dollar,NZD,554,,,,,,
Northern Mariana Islands,US Dollar,USD,840,,,,,,
Norway,Norwegian Krone,NOK,578,,,,,,
Pakistan,Pakistan Rupee,PKR,586,,,,,,
Palau,US Dollar,USD,840,,,,,,
State of Palestine,Egyptian Pound,EGP,,,,,,,
State of Palestine,Israeli New Shekel,ILS,,,,,,,
State of Palestine,"

Jordanian Dinar","

JOD",,,,,,,
Panama,Panamanian Balboa,PAB,590,,,,,,
Panama,"
US Dollar","
USD","
840",,,,,,
Papua New Guinea,Papua New Guinean Kina,PGK,598,,,,,,
Paraguay,Paraguayan Guarani,PYG,600,,,,,,
Peru,Peruvian (Nuevo) Sol,PEN,604,,,,,,
Philippines,Philippine Peso,PHP,608,,,,,,
Pitcairn Island,New Zealand Dollar,NZD,554,,,,,,
Poland,Polish Zloty (złoty),PLN,985,,,,,,
Portugal,Euro,EUR,978,,,,,,
Puerto Rico,US Dollar,USD,840,,,,,,
Qatar,Qatari Rial,QAR,634,,,,,,
Reunion Island,Euro,EUR,978,,,,,,
Romania,Leu,ROL,642,,,,,,
Russian Federation,Russian Ruble,RUR,810,,,,,,
Russian Federation,"
Russian Ruble","
RUB","
643",,,,,,
Rwanda,Rwanda Franc,RWF,646,,,,,,
Saint Helena,Saint Helena Pound,SHP,654,,,,,,
Saint Kitts and Nevis,East Caribbean Dollar,XCD,951,,,,,,
Saint Lucia,East Caribbean Dollar,XCD,951,,,,,,
Saint Vincent and the Grenadines,East Caribbean Dollar,XCD,951,,,,,,
Samoa,Tala,WST,882,,,,,,
San Marino,Euro,EUR,978,,,,,,
Sao Tome and Principe,Dobra,STD,678,,,,,,
